ID;YEAR;ASSETS;EQUITY;SALES;NET_PROFIT;ROA;TLTE;DEBTSTRUCT;ROE;INDB;IND;INFR;PEOPLE;PARTNERS
60;2018;294048000;201595000;317826000;1733000;0,005893596;;0,314414653;0,008596444;0;1;3;2;2
60;2019;298771000;207046000;324288000;5451000;0,018244743;;0,307007708;0,026327483;0;1;3;2;2
60;2020;321950000;250387000;374250000;19256000;0,05981053;;0,222279857;0,076904953;0;1;3;2;2
61;2018;11832504000;10832035000;2902821000;768957000;0,064986836;0,093451231;0,085106415;0,070989154;0;1;3;2;2
61;2019;11636549000;11058241000;3004590000;217614000;0,018700905;0,056346936;0,053161638;0,019678898;0;1;3;2;2
61;2020;12005708000;10976966000;3062019000;-197495000;-0,016450092;0,098401052;0,063475224;-0,017991766;0;1;3;2;2
62;2018;1369347000;1097749000;1410733000;203953000;0,148941795;0,247413571;0,17988355;0,185792014;0;1;3;2;2
62;2019;1237751000;1057483000;961089000;18524000;0,014965853;0,170468934;0,128143706;0,017517066;0;1;3;2;2
62;2020;1305501000;1115804000;1018374000;69821000;0,05348215;0,170009249;0,123693509;0,06257461;0;1;3;2;2
64;2019;212813000;193562000;262544000;67587000;0,317588681;0,099456505;0,076217148;0,349174947;1;2;3;2;2
64;2020;204991000;191239000;254328000;71678000;0,349664132;0,071910018;0,053577962;0,37480849;1;2;3;2;2
67;2018;323834000;286969000;378483000;56202000;0,173551882;0,128463353;0,09204716;0,195846945;1;2;3;2;2
67;2019;395303000;331958000;297556000;49489000;0,125192574;0,190822333;0,138992115;0,149082109;1;2;3;2;2
67;2020;757905000;523005000;639606000;211047000;0,278461021;0,449135286;0,302927148;0,403527677;1;2;3;2;2
68;2018;4,86437E+11;37232654000;3,14325E+11;50658752000;0,104142438;12,12407705;0,258789339;1,360600114;1;2;3;2;2
68;2019;5,82039E+11;1,14724E+11;3,23793E+11;1,2725E+11;0,218627961;4,096082773;0,28109113;1,109183788;1;2;3;2;2
68;2020;8,44811E+11;1,07428E+11;3,31236E+11;9160000000;0,010842662;6,863974011;0,214575805;0,085266411;1;2;3;2;2
71;2018;540974000;428540000;784222000;76844000;0,142047492;0,26236524;0,207812205;0,17931582;0;1;3;2;2
71;2019;639080000;513997000;638898000;85457000;0,133718783;0,24335356;0,184973712;0,166259721;0;1;3;2;2
71;2020;725273000;594478000;607982000;80481000;0,110966491;0,220016552;0,180321065;0,135380954;0;1;3;2;2
72;2018;4,14E+11;1,0828E+11;2,72433E+11;19787561000;0,047796042;2,823866215;0,351477735;0,182744861;0;1;3;1;2
72;2019;3,90831E+11;93274949000;2,75302E+11;13853115000;0,035445245;3,190402441;0,202808318;0,148519143;0;1;3;2;1
72;2020;3,46063E+11;1,2129E+11;2,89702E+11;-2116415000;-0,006115686;2,398673313;0,246049839;-0,017449224;0;1;3;2;2
73;2018;374853000;325331000;468094000;-114198000;-0,304647422;0,152220354;0,131966397;-0,351020962;0;1;3;2;1
73;2019;353326000;306884000;468344000;-18448000;-0,052212404;0,151334055;0,13098102;-0,060113918;0;1;3;1;2
73;2020;515725000;230563000;444359000;-69776000;-0,135296912;1,236807293;0,187722139;-0,302633107;0;1;3;2;2
81;2018;5,75191E+11;2,7483E+11;2,82685E+11;10902202000;0,018954067;1,094390273;0,236298576;0,039668892;1;2;3;2;1
81;2019;5,81525E+11;2,73993E+11;2,91037E+11;8888984000;0,015285655;1,126470341;0,179355472;0,032442398;1;2;3;2;2
81;2020;6,02685E+11;2,51797E+11;3,05939E+11;5381373000;0,008928991;1,410794927;0,238642761;0,021371875;1;2;3;2;2
85;2018;363588000;307917000;341681000;-61524000;-0,169213505;0,180798722;0,153088111;-0,199807093;1;2;3;2;2
85;2019;341609000;301424000;325576000;32545000;0,095269738;0,133317188;0,117616925;0,107970834;1;2;3;2;2
85;2020;332294000;293031000;306355000;36838000;0,11085966;0,133989237;0,118151396;0,125713661;1;2;3;2;2
86;2019;156803000;121440000;261141000;-3823000;-0,024380911;;0,225525022;-0,031480566;1;2;3;2;2
86;2020;188816000;123649000;267386000;2209000;0,01169922;;0,345134946;0,017865086;1;2;3;2;2
87;2018;2820311000;2509236000;1866905000;14807000;0,00525013;0,124483707;0,101231389;0,005901;1;2;3;1;2
87;2019;2773390000;2526247000;1796680000;21244000;0,00765994;0,098128172;0,073171822;0,008409312;1;2;3;2;2
87;2020;2832059000;2514744000;1982223000;5016000;0,00177115;0,126270109;0,091901687;0,001994636;1;2;3;2;2
